1;caco;4231241244;12312341;2000-03-02;carlos@iclean.com.br;
1;caco;4231241244;12312341;2000-03-02;carlos@iclean.com.br;
1;caco;4231241244;12312341;2000-03-02;carlos@iclean.com.br;
2;Soares;888392932;(11) 22334455;1999-07-02;lucas@iclean.com.br;
1;caco;4231241244;12312341;2000-03-02;carlos@iclean.com.br;
2;Soares;888392932;(11) 22334455;1999-07-02;lucas@iclean.com.br;
3;teste descricao;888392932;(11) 22334455;1999-07-02;lucas@iclean.com.br;
1;Guilherme Soares;04737356721;11 984270173;2002-03-21;soso@gmail.com;
1;Guilherme Soares;04737356721;11 984270173;2002-03-21;soso@gmail.com;
1;Guilherme Soares;04737356721;11 984270173;2002-03-21;soso@gmail.com;
2;cartolas;5646574867;5485536566;2000-02-17;carlito@iclean.com.br;
3;carlinhos;545645647;646469987;2000-03-15;carlinhos@iclean.com.br;
